z,y,x
497,761,829
693,71,729
599,67,315
638,127,762
540,69,686
493,76,774
569,96,791
298,774,504
394,762,670
585,766,791
240,756,766
329,759,607
445,766,579
555,116,588
377,760,503
688,64,130
605,59,144
561,85,52
354,731,70
514,155,782
518,757,731
420,152,60
510,62,322
658,739,828
636,123,584
206,773,186
517,67,515
321,761,156
397,701,588
626,41,777
446,126,817
461,69,52
588,183,804
578,141,699
679,194,809
377,762,397
389,68,788
473,62,418
502,144,57
317,760,317
640,105,74
424,65,334
499,470,827
489,551,820
432,78,694
435,70,518
556,133,358
186,634,326
490,698,555
431,774,322
599,66,513
758,178,792
688,69,322
419,691,487
235,627,182
374,84,49
692,54,624
170,761,278
741,51,213
394,762,141
599,131,257
430,65,134
646,63,237
317,706,242
646,133,171
247,670,699
169,730,797
348,692,682
143,757,370
257,693,506
460,775,71
655,687,745
528,758,502
238,674,277
765,91,303
291,690,74
626,225,726
137,691,293
761,110,718
213,684,606
257,762,93
154,736,602
497,675,737
386,683,177
317,647,167
477,136,548
358,650,86
681,79,514
496,137,674
361,645,255
370,631,797
560,65,230
590,759,441
248,754,253
678,242,114
551,237,39
434,693,76
653,286,795
382,136,666
494,626,448
396,596,702
707,252,289
376,136,159
564,177,517
338,155,59
522,200,133
414,616,449
200,684,75
708,229,717
705,125,255
719,199,211
381,710,312
442,756,763
287,606,246
377,65,235
342,69,513
730,127,619
705,703,663
460,611,769
151,776,699
781,128,43
312,565,166
496,240,793
413,481,819
445,710,382
605,637,796
574,272,783
424,140,261
380,720,800
571,689,553
216,645,422
592,195,411
454,763,212
619,313,303
217,745,434
464,717,675
368,771,245
186,620,669
704,120,429
695,309,704
580,585,595
478,320,787
598,188,624
468,204,222
459,636,669
627,701,623
762,74,516
320,567,451
157,693,693
605,202,139
358,630,605
676,608,750
731,227,53
475,243,685
282,312,828
189,554,359
442,177,732
294,685,603
671,768,730
228,529,180
432,631,554
623,266,219
316,622,716
534,663,649
601,628,690
590,352,795
701,260,500
622,79,683
565,128,144
771,259,783
410,285,116
542,604,739
590,547,690
276,179,750
619,267,453
256,611,636
625,138,480
588,556,802
465,222,66
372,212,700
510,375,632
453,765,478
697,301,63
390,207,804
301,668,324
205,712,337
698,297,208
495,279,592
546,690,822
442,684,262
450,408,813
203,578,253
512,572,649
568,266,365
215,550,818
230,110,820
304,613,532
456,321,668
317,562,775
