z,y,x
781,61,622
303,139,660
256,208,150
762,227,362
348,567,86
345,597,355
645,194,257
255,70,512
221,623,532
681,628,644
320,759,719
149,766,496
251,63,318
547,213,715
580,770,86
342,190,595
636,638,550
569,332,575
486,292,485
486,276,375
665,184,33
674,198,425
479,267,174
517,200,609
576,386,693
406,562,812
519,221,443
294,64,792
452,538,705
549,693,165
377,600,174
618,468,677
228,496,746
430,202,333
286,296,137
519,272,275
293,397,139
774,60,114
697,160,517
752,199,464
389,69,417
253,64,697
532,316,703
418,640,341
397,534,435
298,63,235
281,527,246
278,604,69
510,204,329
592,768,688
750,769,647
354,559,247
637,64,411
149,567,165
147,589,830
636,135,368
521,379,508
364,263,329
601,473,324
562,422,63
383,438,737
473,133,347
702,394,688
174,701,211
366,312,818
303,245,666
699,341,484
446,471,153
575,418,590
353,549,626
770,263,667
284,354,735
619,389,501
288,350,416
637,314,128
295,237,38
562,259,522
436,274,284
583,585,69
767,169,278
381,226,46
81,699,748
687,777,486
634,485,806
304,82,47
471,427,569
699,292,393
374,576,528
389,416,576
584,164,38
745,745,752
348,308,708
220,134,144
647,538,613
296,135,553
384,337,615
350,512,348
774,184,681
550,566,404
214,88,227
691,358,803
567,329,64
464,139,140
219,444,179
566,441,776
458,346,559
216,360,153
494,604,333
442,389,147
593,764,573
565,200,240
212,790,346
339,390,794
237,568,445
144,618,243
334,211,132
259,143,453
638,411,750
254,708,186
561,67,425
531,591,154
350,476,240
488,386,60
233,115,602
341,139,266
354,287,208
290,320,629
291,304,327
586,378,124
213,416,725
428,596,67
273,344,212
704,174,331
464,564,503
514,455,655
714,214,610
566,331,221
407,355,744
295,444,730
559,316,443
439,183,625
252,743,642
309,687,763
142,528,253
643,363,223
459,461,728
420,483,633
511,619,557
521,760,622
697,341,303
772,253,551
570,263,630
297,644,445
493,467,65
577,695,721
422,515,60
485,438,422
642,305,545
648,256,631
342,394,232
169,69,762
475,520,411
526,510,737
613,309,700
701,459,762
557,479,414
520,506,148
370,433,151
613,683,232
284,521,674
336,427,490
256,254,578
430,243,431
351,204,396
323,248,771
522,780,168
350,285,440
496,384,243
417,675,724
195,651,776
364,378,409
632,365,624
298,209,501
599,690,60
529,459,513
284,456,569
339,270,572
230,442,337
152,615,469
128,761,166
209,490,425
296,724,407
367,494,543
213,349,787
267,624,808
114,626,737
210,133,715
431,566,612
769,358,433
634,341,407
774,188,135
769,148,384
628,373,43
359,351,133
764,307,341
762,339,760
690,503,532
210,278,174
222,284,387
524,510,323
226,225,307
175,762,70
575,507,79
592,461,148
512,639,243
733,664,751
211,339,677
214,230,60
426,512,240
219,467,639
360,348,509
415,339,214
147,484,177
476,68,601
544,341,319
214,417,549
145,503,821
209,548,629
338,397,31
172,548,739
210,492,251
213,139,338
283,294,495
502,552,266
374,427,323
408,259,629
440,376,319
217,498,538
511,136,448
115,710,70
393,452,423
550,692,434
344,480,93
507,632,68
102,698,539
336,389,672
376,518,747
313,451,390
297,68,410
767,590,722
634,217,515
306,205,306
709,570,441
364,344,307
671,165,680
222,753,539
340,683,501
633,599,408
644,240,354
444,484,496
127,591,361
181,515,64
343,67,704
573,502,599
498,391,732
219,363,361
738,547,262
722,551,804
747,487,69
253,420,451
494,467,244
248,277,731
207,391,255
665,415,146
301,482,152
751,750,541
760,506,720
653,439,583
653,544,67
726,568,59
429,154,459
700,388,393
349,140,765
364,676,397
590,602,230
684,456,327
688,649,461
146,403,175
241,579,735
144,296,327
435,602,236
147,497,608
761,496,582
626,518,412
610,389,321
149,465,705
767,425,640
146,535,436
284,496,474
436,402,663
517,427,302
710,412,58
714,297,602
770,600,496
762,389,326
490,511,583
268,219,405
766,67,408
755,475,213
192,186,413
586,722,342
714,381,588
642,463,231
636,461,62
189,193,217
463,214,506
253,234,831
143,259,229
711,680,555
778,367,41
515,714,86
628,560,504
141,383,328
418,316,387
169,64,137
723,553,642
383,210,508
693,720,408
695,626,356
712,702,57
544,541,507
764,438,424
625,682,399
89,669,648
73,487,287
149,460,510
416,273,747
215,92,44
390,62,607
145,442,253
682,539,340
456,553,154
774,344,650
291,387,322
609,641,134
158,422,798
146,137,270
79,494,666
185,124,490
641,710,497
77,777,556
76,523,176
285,373,533
64,608,801
648,775,361
465,641,151
220,330,571
155,220,130
769,332,538
77,603,184
138,140,158
608,480,502
389,135,556
299,67,612
429,392,475
759,622,609
666,528,718
411,284,526
286,539,586
260,155,253
261,397,638
257,442,818
762,543,370
698,425,493
171,65,323
145,212,323
214,250,487
447,472,331
665,634,76
669,759,238
569,423,243
636,435,414
344,468,640
91,550,756
62,707,165
80,653,453
712,406,240
138,258,36
218,345,470
166,165,41
72,443,198
681,761,593
76,573,291
142,645,151
575,619,475
70,625,553
702,489,425
580,638,325
82,456,766
172,416,418
78,410,676
158,56,534
107,251,666
241,193,653
80,572,464
772,623,393
186,223,756
161,186,660
764,471,326
147,378,513
688,496,143
49,527,825
756,543,157
134,143,379
136,302,141
703,584,547
72,528,361
701,474,652
72,406,290
295,135,364
129,61,227
565,396,416
719,762,318
760,696,349
149,254,405
127,89,52
212,62,407
732,699,243
213,307,282
76,445,360
80,744,445
769,420,756
709,764,132
770,516,472
758,690,465
759,767,420
187,264,644
78,409,479
80,247,481
70,361,171
771,417,532
97,60,825
134,142,747
80,371,770
150,296,514
79,368,580
85,202,200
69,234,100
82,285,575
769,703,140
160,221,559
56,631,338
121,178,477
693,667,155
657,544,237
49,599,645
82,286,772
85,206,750
69,327,310
71,163,297
130,67,417
66,644,86
93,73,713
74,365,382
138,137,580
83,108,502
71,121,208
70,147,91
83,200,569
759,628,284
83,55,140
87,73,602
84,156,660
