z,y,x
694,651,355
79,523,669
721,579,643
287,404,534
711,701,558
145,473,253
627,589,505
190,223,216
522,457,303
761,572,372
766,357,538
157,452,799
220,361,573
382,240,508
74,517,287
605,511,501
291,416,323
765,98,411
257,470,819
586,751,320
516,744,87
692,749,411
624,711,400
456,584,156
664,552,719
343,500,642
712,732,59
260,427,639
285,569,570
572,452,246
431,419,473
449,500,332
694,453,497
185,153,490
410,314,529
215,122,45
343,34,645
90,699,648
169,94,137
146,168,270
154,250,132
300,97,614
76,553,176
465,673,152
647,804,359
633,466,416
340,167,467
146,242,324
65,639,800
214,279,488
761,647,613
217,376,471
139,170,159
260,186,254
772,35,474
92,580,756
643,738,501
78,806,557
77,634,185
712,436,245
171,94,324
700,516,426
83,486,767
147,409,514
762,501,327
666,664,67
769,652,396
160,215,662
574,648,478
240,224,655
688,526,141
580,667,328
142,675,153
78,440,677
72,474,197
757,572,158
138,288,36
167,195,42
107,281,666
668,788,238
80,683,454
76,602,291
188,254,755
70,655,556
701,500,647
62,737,165
80,601,464
72,558,362
158,87,539
703,613,547
768,541,473
149,284,404
72,436,277
295,166,366
212,336,281
49,559,825
134,173,379
144,368,420
129,91,228
213,91,416
76,475,360
760,727,353
43,715,831
733,729,244
187,293,646
769,449,140
719,791,319
127,119,52
785,718,665
770,441,531
229,210,545
80,773,445
757,719,468
78,439,480
80,277,481
709,794,134
70,391,171
151,326,515
125,33,758
761,795,422
134,172,750
79,401,772
78,398,580
167,45,50
97,89,827
160,252,560
120,208,479
83,315,574
85,232,201
69,264,101
658,572,238
86,236,750
56,661,338
770,732,139
81,316,773
69,357,311
695,696,155
71,193,298
130,97,418
164,32,623
